SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
134887,-37.803772,144.952755,Optus Site Carlton West 168 Chetwynd St NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
134895,-37.80683,144.947696,Optus Site Hawke St Cnr Hawke & Spencer Sts WEST MELBOURNE,VIC,2,3003,Within 10 meters,,KX3P
134901,-37.812899,144.959886,Optus Site Lonsdale/Queen 250 Queen St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134906,-37.811678,144.962783,Optus Site CBD North 360 Elizabeth St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134909,-37.813139,144.974328,Optus Site No 1 Macarthur St 1 Macarthur St MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
134923,-37.819576,144.95985,Optus Site Flinders/William 1 William St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134941,-37.817069,144.961828,Optus Site Minicell - Collins & Queen 379 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134969,-37.812233,144.983497,Optus Site Mercy Hosp 126 Claredon St EAST MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
134980,-37.818218,144.960705,Optus Sire Minicell - Market & Flinders 50 Market St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134985,-37.834459,144.9737,Optus Site Mayne Nickless House 390 St Kilda Rd MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
134990,-37.809885,144.963286,Optus Site Museum Station Cnr Latrobe and Elizabeth Sts MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134997,-37.816295,144.948342,Optus Site Colonial Stadium A Footscray Road MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135009,-37.815196,144.96297,Optus Site Commonwealth Bank 385 Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135011,-37.812799,144.954686,Optus Site CGU Centre 485 Latrobe Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135031,-37.816194,144.948354,Optus Site Colonial Stadium C Footscray Road MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135040,-37.807404,144.970964,Optus Site Minicell-Victoria & Spring Spring & Victoria St MELBOURNE,VIC,2,3053,Within 10 meters,,KX3P
135045,-37.811928,144.956414,Optus Site Flagstaff Station 433 Latrobe Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135073,-37.816011,144.972058,Optus Site Minicell-Flinders & Exhibition 82 Flinders Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135084,-37.815325,144.952163,Optus Site Minicell - Spencer & Lonsdale Spencer & Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135112,-37.81918,144.945876,Optus Site MLC DAS Docklands 800 Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135122,-37.818056,144.951132,Optus Site 700 Collins St IBC 700 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135143,-37.814431,144.954653,Optus Site Minicell - Lonsdale & King 600-610 Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135189,-37.821515,144.954651,Optus Site Centra Cnr Spencer St & Flinders St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135190,-37.808806,144.96603,Optus Site Minicell - Latrobe & Russell Latrobe & Russell St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135209,-37.82433,144.954913,Optus Site Melbourne Exhibition Centre 2 Clarendon St SOUTHBANK,VIC,2,3006,Within 10 meters,,KX3P
135213,-37.810382,144.971223,Optus Site TAC Building 222 Exhibition Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135231,-37.816467,144.958334,Optus Site BHP House 140 William Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135237,-37.815777,144.970508,Optus Site BHP Petroleum Plaza 120 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135241,-37.789684,144.938154,Optus Site Parkville West 87-105 Racecourse Rd NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
135253,-37.812578,144.965314,Optus Site Minicell - Little Bourke & Swa Ltl Bourke & Swanston St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135274,-37.817656,144.967128,Optus Site Flinders/Swanston Flinders & Swanston St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135306,-37.81607,144.957254,Optus Site Minicell - Bourke & William 121 William St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135330,-37.814398,144.96632,Optus Site Minicell - Town Hall 134-142 Swanston Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135336,-37.822758,144.954684,Optus Site Centra Hotel Cnr Flinders St & Spencer St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135390,-37.813963,144.957301,Optus Site Minicell - Lonsdale & William Lonsdale & William Streets MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
135634,-37.825399,144.969335,Optus Site Domain Tunnel Sth Melbourne To Olympic Park & Burnley MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
136159,-37.839895,144.940518,The Rex Hotel 145 Bay Street PORT MELBOURNE,VIC,2,3207,Within 10 meters,,KX3P
136194,-37.825847,144.95035,Proposed Melbourne Convention Centre CNR Munro Street & Doran Street SOUTHBANK,VIC,2,3006,Within 10 meters,,KX3P
136513,-37.818683,144.956115,Construction site 565 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
136588,-37.837183,144.974842,Construction Site 428 St. Kilda Rd. Melbourne,VIC,2,3004,Within 100 meters,,KX3P
136668,-37.809046,144.962696,Australian Film TV and Radio School AFTRS 1010 Latrobe Street Docklands MELBOURNE,VIC,2,3000,Unknown,,KX3P
136681,-37.831017,144.966248,75 Dorcas Street SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
136703,-37.820791,144.979573,Skyline Room  Function Centre  Melbourne and Olympic Parks Batman Avenue Melbourne,VIC,2,3004,Within 100 meters,,KX3P
136807,-37.803334,144.949803,North Melbourne Town Hall 521 Queensbury St NORTH MELBOURNE,VIC,2,3051,Unknown,,KX3P
137057,-37.819949,144.98147,SNG Site  Near MCG Western Stand and Practice Wickets Brunton Street MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
137161,-37.841178,144.940698,120 Bay Street PORT MELBOURNE,VIC,2,3207,Unknown,,KX3P
137270,-37.814328,144.956031,Victorian Rail Track Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
137452,-37.813148,144.957631,250 William Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
137479,-37.817923,144.968984,Federation Square Corner of St Kilda Rd and Flinders St Melbourne,VIC,2,3004,Unknown,,KX3P
137819,-37.830222,144.937719,22 Bertie Street PORT MELBOURNE VIC,VIC,2,3207,Unknown,,KX3P
137823,-37.811603,144.959468,RMIT Building 300 Queen Street MELBOURNE VIC,VIC,2,3000,Unknown,23,KX3P
137824,-37.808643,144.963866,RMIT Building 8 368 Swanston Street MELBOURNE VIC,VIC,2,3000,Unknown,,KX3P
137904,-37.823878,144.909176,Skilled Maritime services site unit 5/344 Lorimer St. Port Melbourne,VIC,2,3207,Within 10 meters,,KX3P
138060,-37.813263,144.966874,225 Bourke Street MELBOURNE,VIC,2,3000,Unknown,14,KX3P
138121,-37.841581,144.961789,KTV Transmission Site 2 Old Aughtie Drive Albert Park - Melbourne,VIC,2,3205,Within 10 meters,,KX3P
138122,-37.847382,144.965255,KTV Transmission Site 3 Aughtie Drive Albert Park - Melbourne,VIC,2,3004,Within 10 meters,,KX3P
138124,-37.852867,144.97456,KTV Transmission Site 4 Aughtie Drive (near overhead pass) Albert Park - Melbourne,VIC,2,3182,Within 10 meters,,KX3P
138125,-37.849381,144.970473,KTV Transmission Site 5 Paddock behind main pit area Albert Park - Melbourne,VIC,2,3004,Within 10 meters,,KX3P
138500,-37.826705,144.935556,Ericsson Laboratory 153 Bertie Street PORT MELBOURNE,VIC,2,3207,Within 10 meters,,KX3P
138801,-37.816154,144.953663,City Point Appartments 668 Bourke Street MELBOURNE CBD,VIC,2,3000,Within 10 meters,,KX3P
139083,-37.8161,144.953164,200 Spencer St MELBOURNE,VIC,2,3000,Within 10 meters,13,KX3P
139391,-37.813052,144.969243,20-26 Coromandel Place MELBOURNE CBD,VIC,2,3000,Within 10 meters,,KX3P
139428,-37.803438,144.958652,Tower crane site 640 Elizabeth St MELBOURNE,VIC,2,3053,Unknown,,KX3P
139859,-37.824446,144.968896,VCA University of Melbourne 234 St Kilda Road Southbank,VIC,2,3205,Unknown,,KX3P
140265,-37.805005,144.939171,Dynon Road NORTH MELBOURNE,VIC,2,3011,Unknown,,KX3P
140272,-37.809914,144.957152,Infinity 8 Apartments 243 Franklin Street Melbourne,VIC,2,3000,Within 10 meters,,KX3P
140353,-37.819706,144.981488,Melbourne Cricket Ground Brunton Avenue RICHMOND,VIC,2,3002,Within 10 meters,,KX3P
140380,-37.825829,144.982219,AAMI Park Olympic Boulevard SOUTH MELBOURNE VIC,VIC,2,3004,Within 10 meters,,KX3P
140407,-37.812092,144.955967,FLAGSTAFF STATION Under La Trobe St - Access via Williams St CBD Melbourne,VIC,2,3000,Unknown,,KX3P
140410,-37.802799,144.944968,Flagstaff Station (Underground) Under La Trobe St Access Via William St MELBOURNE CBD,VIC,2,3051,Unknown,,KX3P
140433,-37.82184,144.981918,Hisense Arena Swant Street MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
140609,-37.799015,144.952784,Australian Red Cross Victoria Site 23-47 Villers Street NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
140785,-37.816879,144.957074,Social Security Appeals Tribunal Level 11- 565 Bourke st MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
140934,-37.818885,144.977228,Rod Laver Arena Batman Avenue MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
140966,-37.821675,144.978561,Melbourne Park  MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
141007,-37.819928,144.978483,TV OB Compound Tennis Centre- Albert Park Batman Ave MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
141170,-37.813252,144.955288,Construction site 557 Little Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
141271,-37.816552,144.935181,The White Big Top 473 - 507 Docklands Drive MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
141390,-37.815554,144.94667,Etihad Stadium Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
141482,-37.81236,144.965706,The Lounge 243 Swanston St MELBOURNE CITY,VIC,2,3000,Within 10 meters,15,KX3P
141488,-37.833324,144.955904,Inner South Community Health 341 Coventry Street SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,10,KX3P
141531,-37.818897,144.933993,Harbour Masters Tower North Wharf Road MELBOURNE DOCKLANDS,VIC,2,3000,Unknown,,KX3P
141762,-37.814434,144.934183,Hillsong Church 188 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
141825,-37.851111,144.968892,Melbourne F1 Circuit Albert Park SOUTH MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
141995,-37.816569,144.947506,Melbourne Etihad stadium  MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
